symbol,strategy,trigger,regime,entry_date,entry_price,stop_loss,take_profit,trailing_stop,peak_price,rsi_at_entry,volume_ratio,confluence,macd_hist,sma50_dist,spy_rsi,holding_days,exit_date,exit_price,exit_reason,pnl_pct,peak_after_exit,missed_upside_pct,win
AAPL,momentum_breakout,breakout,uptrend,2024-06-11,205.19400024414065,199.53,205.19,209.34,232.6027374267578,72.64612713598764,2.9431632226550763,3,0.5088188982782231,12.8271878225949,0,55,2024-08-05,209.34,trailing_stop,2.02,227.8837127685547,8.86,1
AAPL,momentum_breakout,breakout,uptrend,2024-11-25,231.19223022460935,224.58,231.19,231.44,257.1537780761719,57.12523550176658,1.9377687119719327,3,0.6747143643701394,2.1452421536366026,0,52,2025-01-16,231.44,trailing_stop,0.11,245.5894317626953,6.11,1
AAPL,momentum_breakout,breakout,uptrend,2025-06-30,204.18316650390625,199.63,204.18,215.01,238.8975067138672,50.99015115914949,1.6705202327897446,3,0.6964371228203619,1.177092023912683,0,66,2025-09-04,238.9,bearish_divergence,17.0,257.1102600097656,7.62,1
AAPL,momentum_breakout,breakout,uptrend,2025-09-19,244.5964508056641,234.89,244.6,247.05,274.5028076171875,66.67041196143697,2.9367520916839047,3,0.22299412563951293,8.827577735643954,0,53,2025-11-11,274.5,bearish_divergence,12.23,285.4131164550781,3.97,1
AAPL,momentum_breakout,breakout,uptrend,2026-04-30,270.8666381835937,257.75,270.87,283.44,314.92840576171875,57.699771862707756,2.1175887695738145,3,0.47888076577626704,3.8778753318871275,0,56,2026-06-25,283.44,trailing_stop,4.64,339.78692626953125,19.88,1
MSFT,momentum_breakout,breakout,uptrend,2024-01-31,389.2696228027344,361.78,389.27,413.51,459.4606323242188,69.24643117380188,1.9025436746347515,3,0.7400166209438197,4.297398622266462,0,176,2024-07-25,413.51,trailing_stop,6.23,419.33795166015625,1.41,1
MSFT,momentum_breakout,breakout,uptrend,2024-10-22,420.8616943359375,408.31,420.86,408.31,425.8036193847656,52.118236056970666,1.526083108053885,3,0.5764266209974185,1.738000765148006,0,9,2024-10-31,408.31,stop_loss,-2.98,443.45458984375,8.61,0
MSFT,momentum_breakout,breakout,uptrend,2025-06-27,491.0855712890625,469.55,491.09,483.88,537.6464233398438,81.4539529515395,1.6945242638043883,3,0.3769387846788348,10.195629326868463,0,145,2025-11-19,483.88,trailing_stop,-1.47,488.918212890625,1.04,0
MSFT,momentum_breakout,breakout,uptrend,2026-04-30,406.1341552734375,356.93,406.13,413.69,459.6546936035156,51.44221760664001,2.0640140858291907,3,1.3314192099902256,2.940116186977598,0,39,2026-06-08,413.69,trailing_stop,1.86,410.9663391113281,-0.66,1
MSFT,momentum_breakout,breakout,uptrend,2026-08-03,486.7337036132813,443.18,486.73,462.18,513.530029296875,73.04455398652449,1.7627866996171024,3,10.39338757729136,17.822862835900544,0,25,2026-08-28,513.53,bearish_divergence,5.51,513.530029296875,0.0,1
GOOGL,momentum_breakout,breakout,uptrend,2024-03-18,146.28797912597656,138.91,146.29,158.68,176.3162841796875,61.788678505369035,1.8575032944320646,3,1.2417658399601013,3.6273076121120322,0,86,2024-06-12,176.32,bearish_divergence,20.53,189.59527587890625,7.53,1
GOOGL,momentum_breakout,breakout,uptrend,2024-10-28,165.55743408203125,162.42,165.56,176.15,195.72125244140625,56.02992958493219,1.5545408088366,3,0.06855891175468498,2.8595017572395633,0,70,2025-01-06,195.72,bearish_divergence,18.22,205.1757659912109,4.83,1
GOOGL,momentum_breakout,breakout,uptrend,2025-02-04,205.1757659912109,197.56,205.18,197.56,205.1757659912109,63.86599248883718,1.6454511977305466,2,0.49904856164432054,8.735195497322358,0,1,2025-02-05,197.56,stop_loss,-3.71,190.48199462890625,-3.58,0
GOOGL,momentum_breakout,breakout,uptrend,2025-07-24,191.5002593994141,180.2,191.5,308.72,343.0227355957031,71.06641311235033,1.740744658222728,3,1.0656338895559179,9.15908744118902,0,193,2026-02-02,343.02,bearish_divergence,79.12,343.0227355957031,0.0,1
GOOGL,momentum_breakout,breakout,uptrend,2026-04-30,384.3232421875,348.62,384.32,361.91,402.1211853027344,77.8087377944188,2.734064415984637,3,3.9199528428464525,18.45031914866585,0,33,2026-06-02,361.91,trailing_stop,-5.83,373.01025390625,3.07,0
AMZN,momentum_breakout,breakout,uptrend,2024-02-01,159.27999877929688,150.47,159.28,160.4,178.22000122070312,59.95474524661356,1.639387765483231,3,0.16593217861456644,5.169135554339118,0,29,2024-03-01,178.22,bearish_divergence,11.89,189.0500030517578,6.08,1
AMZN,momentum_breakout,breakout,uptrend,2024-05-15,185.9900054931641,175.34,185.99,180.0,200.0,55.294641276776844,1.61006537565397,3,0.29003811531555046,2.7438060139432006,0,71,2024-07-25,180.0,trailing_stop,-3.22,186.97999572753903,3.88,0
AMZN,momentum_breakout,breakout,uptrend,2024-11-01,197.92999267578125,192.6,197.93,217.85,242.05999755859372,62.79562640821896,2.837186202813911,3,0.5382272432014839,6.638403921199801,0,112,2025-02-21,217.85,trailing_stop,10.06,216.5800018310547,-0.58,1
AMZN,momentum_breakout,breakout,uptrend,2025-06-27,223.3000030517578,215.08,223.3,215.08,234.1100006103516,63.549290561353295,2.7613185952880177,3,0.11002272267823399,10.010211293567414,0,35,2025-08-01,215.08,stop_loss,-3.68,238.2400054931641,10.77,0
AMZN,momentum_breakout,breakout,uptrend,2025-09-04,235.67999267578125,228.45,235.68,228.45,238.2400054931641,58.51417732546505,1.7002106233463419,3,0.2808899318677529,4.485655520654398,0,8,2025-09-12,228.45,stop_loss,-3.07,234.0500030517578,2.45,0
AMZN,momentum_breakout,breakout,uptrend,2025-10-31,244.22000122070312,234.17,244.22,234.17,254.0,67.31993703483417,3.1148638438028944,3,2.318612199844416,7.668905522092132,0,17,2025-11-17,234.17,stop_loss,-4.12,234.4199981689453,0.11,0
AMZN,momentum_breakout,breakout,uptrend,2026-04-29,263.0400085449219,224.68,263.04,247.49,274.989990234375,70.33240319012366,1.5604297009470554,3,1.5088883032731708,15.477724686299748,0,37,2026-06-05,247.49,trailing_stop,-5.91,254.9600067138672,3.02,0
NVDA,momentum_breakout,breakout,uptrend,2024-01-08,52.160282135009766,46.94,52.16,85.35,94.83788299560548,62.51967730485252,1.6912319215385891,3,0.10535014864432724,9.39035119378682,0,77,2024-03-25,94.84,bearish_divergence,81.82,94.83788299560548,0.0,1
NVDA,momentum_breakout,breakout,uptrend,2024-05-23,103.61969757080078,96.01,103.62,121.82,135.35691833496094,71.79269439220643,2.0339199781766415,3,1.0257703504792737,14.355619030130457,0,32,2024-06-24,121.82,trailing_stop,17.56,134.68801879882812,10.56,1
NVDA,momentum_breakout,breakout,uptrend,2025-05-29,138.9951934814453,119.1,139.0,186.1,206.7762756347656,68.32148071821572,1.6694057049806281,3,0.564054644453182,16.76886767856062,0,173,2025-11-18,186.1,trailing_stop,33.89,190.2978973388672,2.26,1
NVDA,momentum_breakout,breakout,uptrend,2026-04-30,199.33767700195312,174.1,199.34,211.92,235.465576171875,62.1916151533034,1.52115843744651,3,0.7289613662539889,6.328411945258776,0,29,2026-05-29,211.92,trailing_stop,6.31,224.09881591796875,5.75,1
META,momentum_breakout,breakout,uptrend,2024-02-01,391.3433532714844,357.11,391.34,457.44,508.27001953125,69.16402777686439,1.736046182282192,3,0.5568196767910276,10.25076197764128,0,35,2024-03-07,508.27,bearish_divergence,29.88,523.3040771484375,2.96,1
META,momentum_breakout,breakout,uptrend,2024-07-05,536.309814453125,522.29,536.31,522.29,536.309814453125,64.5831879327242,1.7983490367415962,3,1.491520465225335,10.757281976578774,0,6,2024-07-11,522.29,stop_loss,-2.61,533.7471313476562,2.19,0
META,momentum_breakout,breakout,uptrend,2024-09-20,558.1387939453125,530.65,558.14,659.74,733.0466918945312,66.90386170867936,1.99493554619167,3,4.306955508851228,9.735477518512123,0,158,2025-02-25,659.74,trailing_stop,18.2,670.386474609375,1.61,1
META,momentum_breakout,breakout,uptrend,2025-07-31,770.913330078125,752.07,770.91,752.07,770.913330078125,69.37782581798979,3.1023271588145978,3,1.0549515010398824,9.939020211479319,0,1,2025-08-01,752.07,stop_loss,-2.44,787.4192504882812,4.7,0
META,momentum_breakout,breakout,uptrend,2025-09-19,775.8372192382812,749.81,775.84,749.81,775.8372192382812,61.85392385507735,2.287465074041343,3,2.5621707033193797,4.078629618001023,0,6,2025-09-25,749.81,stop_loss,-3.35,749.7200927734375,-0.01,0
META,momentum_breakout,breakout,uptrend,2026-01-28,667.5392456054688,626.34,667.54,663.3,736.995361328125,56.832161310735216,1.7244314351772048,3,4.9383850007712,3.8747059855647326,0,9,2026-02-06,663.3,trailing_stop,-0.64,676.0140991210938,1.92,0
TSLA,momentum_breakout,breakout,uptrend,2024-07-01,209.8600006103516,194.07,209.86,236.93,263.260009765625,68.9897116308201,1.7613466731673175,3,2.628309507878856,15.344992087402492,0,23,2024-07-24,236.93,trailing_stop,12.9,232.1000061035156,-2.04,1
TSLA,momentum_breakout,breakout,uptrend,2024-09-05,230.1699981689453,212.03,230.17,212.03,230.1699981689453,57.45639231006766,1.6095345181132812,3,1.6681179863489974,3.169308520360177,0,1,2024-09-06,212.03,stop_loss,-7.88,261.6300048828125,23.39,0
TSLA,momentum_breakout,breakout,uptrend,2024-10-24,260.4800109863281,227.19,260.48,242.27,269.19000244140625,61.05980213180006,2.568759109563737,3,0.10546447958876803,11.905562346221492,0,1,2024-10-25,269.19,bearish_divergence,3.34,389.2200012207031,44.59,1
TSLA,momentum_breakout,breakout,uptrend,2024-11-06,288.5299987792969,250.89,288.53,315.0,350.0,66.75294386710328,1.9076483353146378,3,3.291593337312209,17.83814471993435,0,8,2024-11-14,315.0,trailing_stop,9.17,479.8599853515625,52.34,1
TSLA,momentum_breakout,breakout,uptrend,2024-12-17,479.8599853515625,402.76,479.86,402.76,479.8599853515625,84.4195006438799,1.6142675253261491,3,8.436119189738328,35.582709660334366,0,16,2025-01-02,402.76,stop_loss,-16.07,428.2200012207031,6.32,0
