symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_price,holding_days,pnl,pnl_pct,peak_price,rsi_at_entry,vol_at_entry,portfolio_value,win
HOOD,mean_reversion,oversold,2,2021-10-29,34.970001220703125,2021-11-11,34.18,trailing_stop,2.012406596917793,2.01,False,,13,-1.59,-2.25,37.98,21.7987582707071,1.583566024023014,1054.72,0
HON,mean_reversion,oversold,2,2021-09-30,189.33660888671875,2021-11-30,182.82,trailing_stop,1.0563197533534638,1.06,False,,61,-6.88,-3.44,203.13,10.949213004456487,,1010.29,0
ROKU,mean_reversion,oversold,2,2021-11-17,245.1100006103516,2021-12-10,230.47,trailing_stop,0.7274607093976502,0.73,False,,23,-10.65,-5.97,256.08,22.044655386605328,3.1265712429633674,1048.19,0
ORCL,momentum_breakout,breakout,3,2021-12-10,96.27410125732422,2021-12-17,91.67,stop_loss,1.658156368554963,1.66,False,,7,-7.63,-4.78,97.23,68.2273516892695,4.335027469603695,1029.99,0
BRK-B,mean_reversion,oversold,2,2021-09-30,272.94000244140625,2022-01-05,309.92,mean_reversion_complete,0.7327617725911586,0.37,True,300.23,97,23.55,11.77,309.92,18.691450466155036,,1050.5,1
JNJ,momentum_breakout,breakout,3,2021-12-17,147.2641143798828,2022-01-07,152.27,bearish_divergence,1.0630771285855833,1.06,False,,21,5.32,3.4,152.27,59.75439030492469,1.7975284547952683,1051.54,1
GOOGL,mean_reversion,oversold,2,2021-10-04,132.39959716796875,2022-01-20,133.58,trailing_stop,1.1268971589528551,0.56,True,145.64,108,8.13,5.45,148.43,23.180083798510395,1.697470800995899,1039.68,1
AAPL,momentum_breakout,breakout,3,2021-11-30,161.46414184570312,2022-01-21,160.01,trailing_stop,1.2514143651256497,1.25,False,,52,-1.82,-0.9,177.79,68.50042892159254,2.153473368989039,1025.1,0
LIN,mean_reversion,oversold,2,2021-09-30,274.1838684082031,2022-01-26,292.36,trailing_stop,0.7294375163685463,0.36,True,301.6,118,16.63,8.31,324.84,14.478123501274787,,1040.17,1
NEM,momentum_breakout,breakout,3,2022-01-20,56.18032455444336,2022-01-27,53.59,stop_loss,1.3925088098410787,1.39,False,,7,-3.61,-4.61,56.18,67.62332809535937,1.6469096206037281,1046.4,0
LMT,momentum_breakout,breakout,3,2022-01-26,345.09039306640625,2022-02-11,349.46,bearish_divergence,0.2980716105875564,0.3,False,,16,1.3,1.27,349.46,75.05158015688288,1.8837415075106463,1084.21,1
PRU,momentum_breakout,breakout,3,2022-02-11,94.9655532836914,2022-02-24,88.61,stop_loss,0.9973187049321302,1.0,False,,13,-6.34,-6.69,94.97,64.15032002640135,1.5408610973600156,1042.87,0
BRK-B,momentum_breakout,breakout,3,2022-01-05,309.9200134277344,2022-03-03,327.74,bearish_divergence,0.677913646017866,0.68,False,,57,12.08,5.75,327.74,71.86758390835016,1.5132951291286738,1107.56,1
XOM,momentum_breakout,breakout,3,2022-01-21,61.381004333496094,2022-03-08,75.49,bearish_divergence,3.321571764415293,1.66,True,72.43,46,41.77,20.49,75.49,71.00818573457656,1.5185999510186208,1138.45,1
XOM,momentum_breakout,breakout,2,2022-03-08,75.48503875732422,2022-03-14,70.94,stop_loss,3.0163515869716724,3.02,False,,6,-13.71,-6.02,75.49,78.07574449944744,1.9850607464835006,1112.53,0
COP,momentum_breakout,breakout,3,2022-01-07,68.13042449951172,2022-03-25,91.28,bearish_divergence,2.494269642235605,1.25,True,80.39,77,44.16,25.99,91.28,65.60620159250327,1.5230274505505779,1140.8,1
NEM,momentum_breakout,breakout,3,2022-02-24,58.71477127075195,2022-04-01,73.37,bearish_divergence,1.681155182682919,0.84,True,69.28,36,21.2,21.48,73.37,67.06452204691315,1.7479698262458032,1120.23,1
MARA,momentum_breakout,breakout,3,2022-03-28,31.270000457763672,2022-04-06,25.65,stop_loss,7.2673127551139185,7.27,False,,9,-40.84,-17.97,31.27,58.70680797525276,1.640460319322533,1099.41,0
CVX,momentum_breakout,breakout,3,2022-01-27,112.0617218017578,2022-04-18,145.46,bearish_divergence,0.6520207520965253,0.33,True,132.23,81,17.46,23.9,145.46,73.86320386476693,1.5225186674229834,1102.39,1
ANET,momentum_breakout,breakout,3,2022-04-06,33.002498626708984,2022-04-22,29.88,trailing_stop,5.80596090265028,5.81,False,,16,-18.1,-9.45,33.21,55.136276733283225,1.6745305506093113,1078.16,0
JNJ,momentum_breakout,breakout,3,2022-03-18,154.0327911376953,2022-04-25,163.87,bearish_divergence,1.4377239365686043,1.44,False,,38,14.15,6.39,163.87,64.62167720948206,1.5817201055816354,1087.02,1
