symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,scaled_out,holding_days,pnl,pnl_pct,rsi_at_entry,vol_at_entry,win
PCOR,mean_reversion,oversold,2,2021-10-05,88.92,2021-10-26,94.28,trailing_stop,2.2473,True,21,14.9,7.46,17.25536310198066,1.701820491720444,1
GLBE,mean_reversion,oversold,2,2021-10-27,58.86,2021-11-05,55.58,trailing_stop,3.6529,False,9,-12.97,-6.03,24.99528871731591,1.5725201700149978,0
GLBE,mean_reversion,oversold,2,2021-11-08,53.78,2021-11-10,51.81,trailing_stop,3.9627,False,2,-8.82,-4.14,24.54357538684208,1.8483952272031936,0
ESTC,mean_reversion,oversold,2,2021-10-05,142.36,2021-11-22,167.93,trailing_stop,1.0183,True,48,19.19,13.24,10.932364828974466,1.620038485372297,1
GLBE,mean_reversion,oversold,2,2021-11-11,51.62,2021-11-22,58.33,trailing_stop,4.1055,True,11,23.25,10.97,24.862590863639987,1.984132181447246,1
HUBS,mean_reversion,oversold,2,2021-10-05,634.83,2021-11-23,766.11,trailing_stop,0.3137,True,49,29.44,14.78,22.133829246842833,1.941966238082743,1
U,momentum_breakout,breakout,3,2021-11-23,174.56,2021-12-01,163.47,trailing_stop,1.2238,False,8,-14.58,-6.82,64.23480937434105,1.5789568000965803,0
TOST,mean_reversion,oversold,2,2021-11-24,40.74,2021-12-01,39.27,trailing_stop,2.9841,False,7,-5.38,-4.42,28.847800898520457,1.6806769248882787,0
DECK,mean_reversion,oversold,2,2021-10-12,55.8,2021-12-03,65.68,trailing_stop,1.1573,True,52,7.91,12.25,19.811983953089676,2.4343058047709696,1
RKLB,momentum_breakout,breakout,3,2021-12-02,15.17,2021-12-03,13.91,stop_loss,7.4282,False,1,-10.39,-9.22,57.16452882737846,1.9456318657132516,0
URBN,momentum_breakout,breakout,3,2021-11-23,32.03,2021-12-13,30.39,trailing_stop,6.6747,False,20,-11.95,-5.59,62.63242395821102,2.6196827536651206,0
TOST,mean_reversion,oversold,2,2021-12-02,36.05,2021-12-13,36.31,trailing_stop,5.8199,True,11,10.1,4.82,26.95874613105131,1.5406731110791998,1
CROX,mean_reversion,oversold,2,2021-12-20,134.01,2021-12-23,125.68,trailing_stop,0.3795,False,3,-4.16,-8.19,29.7582362869112,2.8332428622196533,0
BHP,mean_reversion,oversold,2,2021-09-29,35.58,2022-01-12,45.18,mean_reversion_complete,5.5932,True,105,35.7,17.94,10.013821007915935,,1
FUN,momentum_breakout,breakout,3,2021-12-16,46.34,2022-01-14,44.14,stop_loss,4.4722,False,29,-10.86,-5.24,54.426108687101994,1.5434244730495787,0
CROX,mean_reversion,oversold,2,2021-12-27,124.13,2022-01-18,121.3,trailing_stop,0.2807,False,22,-1.8,-5.15,29.644551354542628,5.43809559123438,0
MT,momentum_breakout,breakout,3,2021-12-16,30.22,2022-01-21,31.11,trailing_stop,6.82,False,36,5.07,2.46,53.126464510367725,1.6370905031658225,1
TECK,momentum_breakout,breakout,3,2022-01-13,32.09,2022-01-28,29.21,stop_loss,6.8446,False,15,-20.71,-9.43,74.83458040879549,3.1403848054965153,0
BHP,momentum_breakout,breakout,3,2022-01-18,45.09,2022-02-10,47.06,bearish_divergence,4.7821,False,23,8.43,3.91,71.62256057714453,1.5871652022097573,1
RIO,momentum_breakout,breakout,3,2022-01-19,55.16,2022-02-10,55.8,bearish_divergence,0.5831,False,22,-0.63,-1.96,70.82173488706854,1.5808144531607147,0
