date,portfolio_value,cash,positions,queue_size
2021-09-07,1000.0,1000.0,0,0
2021-09-08,1000.0,1000.0,0,0
2021-09-09,1000.0,1000.0,0,0
2021-09-10,1000.0,1000.0,0,0
2021-09-13,1000.0,1000.0,0,0
2021-09-14,1000.0,1000.0,0,0
2021-09-15,1000.0,1000.0,0,0
2021-09-16,1000.0,1000.0,0,0
2021-09-17,1000.0,1000.0,0,0
2021-09-20,1000.0,1000.0,0,0
2021-09-21,1000.0,1000.0,0,0
2021-09-22,1000.0,1000.0,0,0
2021-09-23,1000.0,1000.0,0,0
2021-09-24,1000.0,1000.0,0,0
2021-09-27,1000.0,1000.0,0,0
2021-09-28,1000.0,1000.0,0,0
2021-09-29,1000.0,1000.0,0,0
2021-09-30,1000.0,1000.0,0,0
2021-10-01,1002.41,399.44,3,0
2021-10-04,997.4,399.44,3,0
2021-10-05,1005.2,251.04,4,8
2021-10-06,1008.34,251.04,4,9
2021-10-07,1015.66,251.04,4,13
2021-10-08,1014.51,251.04,4,13
2021-10-11,1008.05,251.04,4,15
2021-10-12,1003.42,251.04,4,8
2021-10-13,1008.8,251.04,4,4
2021-10-14,1023.5,251.04,4,5
2021-10-15,1027.24,251.04,4,3
2021-10-18,1027.35,251.04,4,3
2021-10-19,1032.38,251.04,4,3
2021-10-20,1034.81,251.04,4,2
2021-10-21,1035.33,251.04,4,2
2021-10-22,1027.61,251.04,4,2
2021-10-25,1030.06,251.04,4,5
2021-10-26,1033.32,251.04,4,4
2021-10-27,1037.73,251.04,4,5
2021-10-28,1040.64,251.04,4,8
2021-10-29,1042.04,251.04,4,6
2021-11-01,1039.5,260.32,5,6
2021-11-02,1046.51,260.32,5,4
2021-11-03,1051.73,368.88,5,2
2021-11-04,1052.71,368.88,5,1
2021-11-05,1056.55,368.88,5,1
2021-11-08,1060.8,368.88,5,3
2021-11-09,1058.67,368.88,5,3
2021-11-10,1049.94,368.88,5,4
2021-11-11,1044.3,368.88,5,4
2021-11-12,1047.58,435.44,4,2
2021-11-15,1045.55,435.44,4,2
2021-11-16,1042.9,435.44,4,0
2021-11-17,1040.38,435.44,4,0
2021-11-18,1036.96,260.17,5,0
2021-11-19,1033.05,260.17,5,0
2021-11-22,1031.81,260.17,5,0
2021-11-23,1028.72,260.17,5,7
2021-11-24,1027.33,260.17,5,7
2021-11-26,1018.81,260.17,5,7
2021-11-29,1016.66,260.17,5,7
2021-11-30,1002.08,260.17,5,3
2021-12-01,982.17,253.15,5,6
