symbol,strategy,trigger,confluence,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,scaled_out,holding_days,pnl,pnl_pct,rsi_at_entry,vol_at_entry,win
HOOD,mean_reversion,oversold,2,2021-11-01,35.24,2021-11-11,34.15,trailing_stop,1.9785,False,10,-3.16,-4.53,21.7987582707071,1.583566024023014,0
HON,mean_reversion,oversold,2,2021-10-01,190.15,2021-11-30,182.64,trailing_stop,1.0473,False,60,-8.87,-4.45,10.949381608754951,,0
ROKU,mean_reversion,oversold,2,2021-11-18,239.62,2021-12-10,230.24,trailing_stop,0.7273,False,22,-7.82,-4.49,22.044655386605328,3.1265712429633674,0
ORCL,momentum_breakout,breakout,3,2021-12-13,96.19,2021-12-17,91.5,stop_loss,1.6756,False,4,-8.86,-5.5,68.22735019223424,4.335027469603695,0
BRK-B,mean_reversion,oversold,2,2021-10-01,273.29,2022-01-05,309.61,mean_reversion_complete,0.7282,True,96,22.06,11.09,18.691450466155036,,1
JNJ,momentum_breakout,breakout,3,2021-12-20,147.04,2022-01-07,152.12,bearish_divergence,1.0644,False,18,4.41,2.82,59.75441573656158,1.7975284547952683,1
GOOGL,mean_reversion,oversold,2,2021-10-05,132.91,2022-01-20,133.45,trailing_stop,1.109,True,107,6.59,4.47,23.179789979782516,1.697470800995899,1
AAPL,momentum_breakout,breakout,3,2021-12-01,163.76,2022-01-21,159.85,trailing_stop,1.1988,False,51,-5.69,-2.9,68.50043782965552,2.153473368989039,0
LIN,mean_reversion,oversold,2,2021-10-01,276.48,2022-01-26,292.07,trailing_stop,0.7213,True,117,14.48,7.26,14.47852328416461,,1
NEM,momentum_breakout,breakout,3,2022-01-21,56.56,2022-01-27,53.92,stop_loss,1.3916,False,6,-4.68,-5.95,67.62329703034327,1.6469096206037281,0
LMT,momentum_breakout,breakout,3,2022-01-27,343.8,2022-02-11,349.11,bearish_divergence,0.2851,False,15,0.51,0.52,75.05136157464874,1.8837415075106463,1
PRU,momentum_breakout,breakout,3,2022-02-14,94.77,2022-02-24,88.32,stop_loss,0.9728,False,10,-7.27,-7.89,64.15038430045195,1.5408610973600156,0
BRK-B,momentum_breakout,breakout,3,2022-01-06,313.29,2022-03-03,327.41,bearish_divergence,0.6502,False,56,8.18,4.02,71.86758390835016,1.5132951291286738,1
XOM,momentum_breakout,breakout,3,2022-01-24,60.34,2022-03-08,75.41,bearish_divergence,3.152,True,43,39.77,20.91,71.00804443583152,1.5185999510186208,1
XOM,momentum_breakout,breakout,2,2022-03-09,72.33,2022-03-15,67.72,stop_loss,2.9931,False,6,-14.79,-6.83,78.07571424380939,1.9850607464835006,0
COP,momentum_breakout,breakout,3,2022-01-10,68.21,2022-03-25,91.19,bearish_divergence,2.5029,True,74,43.01,25.19,65.60624236387252,1.5230274505505779,1
NEM,momentum_breakout,breakout,3,2022-02-25,58.1,2022-04-01,73.29,bearish_divergence,1.4694,True,35,17.8,20.85,67.06449766290005,1.7479698262458032,1
MARA,momentum_breakout,breakout,3,2022-03-29,31.38,2022-04-06,25.73,stop_loss,6.8547,False,8,-39.7,-18.46,58.70680797525276,1.640460319322533,0
CVX,momentum_breakout,breakout,3,2022-01-28,107.72,2022-04-18,145.32,bearish_divergence,0.6721,True,80,18.11,25.01,73.86321842036607,1.5225186674229834,1
ANET,momentum_breakout,breakout,3,2022-04-07,33.06,2022-04-22,29.85,trailing_stop,5.295,False,15,-17.97,-10.27,55.136276733283225,1.6745305506093113,0
MAR,momentum_breakout,breakout,3,2022-04-21,185.73,2022-04-22,172.28,stop_loss,0.2919,False,1,-4.93,-9.09,66.97058866930976,1.5797667827939132,0
JNJ,momentum_breakout,breakout,3,2022-03-21,154.03,2022-04-25,163.71,bearish_divergence,1.3886,False,35,12.44,5.82,64.62168496003844,1.5817201055816354,1
XLV,momentum_breakout,breakout,3,2022-04-04,128.5,2022-04-29,121.69,stop_loss,0.9717,False,25,-7.62,-6.1,62.30540608323878,1.6538445319145043,0
CAT,momentum_breakout,breakout,3,2022-04-25,200.78,2022-05-10,189.35,stop_loss,1.0182,False,15,-12.64,-6.18,55.892949895076256,1.6858141691518391,0
KO,momentum_breakout,breakout,3,2022-04-26,57.88,2022-05-18,55.28,stop_loss,0.4613,False,22,-2.2,-8.23,71.1134665991094,1.6995550881624721,0
LLY,momentum_breakout,breakout,3,2022-05-17,290.08,2022-05-19,279.57,stop_loss,0.6612,False,2,-7.95,-4.14,59.5149362105829,1.7177434376012068,0
