date,equity,cash,positions,queue_size,pending
2021-09-22,1000.0,1000.0,0,0,0
2021-09-23,1000.0,1000.0,0,0,0
2021-09-24,1000.0,1000.0,0,0,0
2021-09-27,1000.0,1000.0,0,0,0
2021-09-28,1000.0,1000.0,0,0,0
2021-09-29,1000.0,1000.0,0,0,0
2021-09-30,1000.0,1000.0,0,0,0
2021-10-01,1000.0,1000.0,0,0,0
2021-10-04,1000.0,1000.0,0,0,0
2021-10-05,1000.0,1000.0,0,0,0
2021-10-06,1000.0,1000.0,0,0,0
2021-10-07,1000.0,1000.0,0,0,0
2021-10-08,1000.0,1000.0,0,0,0
2021-10-11,1000.0,1000.0,0,0,0
2021-10-12,1000.0,1000.0,0,0,0
2021-10-13,1000.0,1000.0,0,0,0
2021-10-14,1000.0,1000.0,0,0,0
2021-10-15,1000.0,1000.0,0,0,0
2021-10-18,1000.0,1000.0,0,0,0
2021-10-19,1000.0,1000.0,0,0,0
2021-10-20,1000.0,1000.0,0,0,0
2021-10-21,1000.0,1000.0,0,0,0
2021-10-22,1000.41,850.0,1,0,0
2021-10-25,1004.64,850.0,1,0,0
2021-10-26,1003.41,850.0,1,0,0
2021-10-27,999.85,850.0,1,0,0
2021-10-28,994.25,700.0,2,0,0
2021-10-29,988.12,700.0,2,0,0
2021-11-01,989.34,840.48,1,0,0
2021-11-02,990.28,840.48,1,0,0
2021-11-03,991.12,690.48,2,0,0
2021-11-04,989.04,690.48,2,0,0
2021-11-05,980.28,690.48,2,0,0
2021-11-08,976.43,831.17,1,0,0
2021-11-09,972.42,681.17,2,0,0
2021-11-10,1003.17,681.17,2,0,0
2021-11-11,1020.7,531.17,3,0,0
2021-11-12,1033.22,699.25,3,0,0
2021-11-15,1025.53,699.25,3,0,0
2021-11-16,1020.66,699.25,3,0,0
2021-11-17,1011.72,699.25,3,0,0
2021-11-18,1007.8,699.25,3,0,0
2021-11-19,1000.92,624.25,3,0,0
2021-11-22,1013.28,705.12,2,0,0
2021-11-23,1018.64,705.12,2,0,0
2021-11-24,1028.89,405.12,4,0,0
2021-11-26,1023.15,482.93,4,0,0
2021-11-29,1023.68,623.63,3,0,0
2021-11-30,1004.21,623.63,3,0,0
2021-12-01,964.03,473.63,4,0,0
2021-12-02,974.78,595.73,3,0,0
2021-12-03,941.61,295.73,5,3,0
2021-12-06,950.59,429.57,4,6,0
2021-12-07,978.38,417.96,4,6,0
2021-12-08,997.58,267.96,5,6,0
2021-12-09,969.82,349.39,5,3,0
2021-12-10,964.63,349.39,5,1,0
2021-12-13,951.11,349.39,5,1,0
2021-12-14,933.43,548.7,3,0,0
2021-12-15,939.28,548.7,3,0,0
2021-12-16,924.33,248.7,5,1,0
2021-12-17,925.12,387.46,4,2,0
2021-12-20,903.18,237.46,5,3,0
2021-12-21,918.05,380.49,4,3,0
2021-12-22,926.86,230.49,5,1,0
2021-12-23,926.43,230.49,5,0,0
2021-12-27,936.17,230.49,5,0,0
2021-12-28,931.5,230.49,5,1,0
2021-12-29,935.17,230.49,5,1,0
2021-12-30,934.48,230.49,5,1,0
2021-12-31,936.61,230.49,5,1,0
2022-01-03,934.3,230.49,5,1,0
2022-01-04,943.71,230.49,5,1,0
2022-01-05,951.58,230.49,5,4,0
2022-01-06,935.1,230.49,5,7,0
2022-01-07,936.91,230.49,5,8,0
2022-01-10,927.64,230.49,5,9,0
2022-01-11,933.87,230.49,5,5,0
2022-01-12,946.27,230.49,5,3,0
2022-01-13,942.69,372.13,4,8,0
2022-01-14,938.87,222.13,5,9,0
2022-01-18,923.01,222.13,5,10,0
2022-01-19,926.51,361.38,4,7,0
2022-01-20,921.95,457.48,3,6,0
2022-01-21,886.67,157.48,5,6,0
2022-01-24,862.35,443.27,3,7,0
2022-01-25,855.17,417.69,3,2,0
2022-01-26,857.08,560.35,2,1,0
2022-01-27,854.08,560.35,2,0,0
2022-01-28,848.86,560.35,2,0,0
2022-01-31,843.24,696.9,1,0,0
2022-02-01,870.34,546.9,2,0,0
2022-02-02,878.82,546.9,2,0,0
2022-02-03,876.84,396.9,3,0,0
2022-02-04,881.89,246.9,4,0,0
2022-02-07,888.63,246.9,4,0,0
2022-02-08,892.35,184.75,5,0,0
2022-02-09,893.04,184.75,5,3,0
2022-02-10,888.9,184.75,5,3,0
2022-02-11,884.93,184.75,5,6,0
2022-02-14,881.58,318.55,4,7,0
2022-02-15,882.99,168.55,5,4,0
2022-02-16,885.91,168.55,5,5,0
2022-02-17,878.37,168.55,5,2,0
2022-02-18,878.0,168.55,5,3,0
2022-02-22,868.76,168.55,5,3,0
2022-02-23,875.39,168.55,5,3,0
2022-02-24,875.61,168.55,5,2,0
2022-02-25,896.56,308.62,4,3,0
2022-02-28,908.67,158.62,5,3,0
2022-03-01,906.5,247.0,5,7,0
2022-03-02,920.93,247.0,5,10,0
2022-03-03,908.35,334.23,5,10,0
2022-03-04,914.71,467.47,4,10,0
2022-03-07,918.66,488.31,4,10,0
2022-03-08,898.25,338.31,5,5,0
2022-03-09,899.11,473.72,4,6,0
2022-03-10,914.2,323.72,5,6,0
2022-03-11,905.67,323.72,5,6,0
2022-03-14,888.0,323.72,5,6,0
2022-03-15,881.14,544.23,3,1,0
