date,equity,cash,positions,queue_size
2021-09-22,1000.0,1000.0,0,0
2021-09-23,1000.0,1000.0,0,0
2021-09-24,1000.0,1000.0,0,0
2021-09-27,1000.0,1000.0,0,0
2021-09-28,1000.0,1000.0,0,0
2021-09-29,1000.0,1000.0,0,0
2021-09-30,1000.0,1000.0,0,0
2021-10-01,1000.0,1000.0,0,0
2021-10-04,1000.0,1000.0,0,0
2021-10-05,1000.0,1000.0,0,0
2021-10-06,1000.0,1000.0,0,0
2021-10-07,1000.0,1000.0,0,0
2021-10-08,1000.0,1000.0,0,0
2021-10-11,1000.0,1000.0,0,0
2021-10-12,1000.0,1000.0,0,0
2021-10-13,1000.0,1000.0,0,0
2021-10-14,1000.0,1000.0,0,0
2021-10-15,1000.0,1000.0,0,0
2021-10-18,1000.0,1000.0,0,0
2021-10-19,1000.0,1000.0,0,0
2021-10-20,1000.0,1000.0,0,0
2021-10-21,1000.0,1000.0,0,0
2021-10-22,1000.0,1000.0,0,0
2021-10-25,1000.0,1000.0,0,0
2021-10-26,1000.0,1000.0,0,0
2021-10-27,1000.0,1000.0,0,0
2021-10-28,1000.0,1000.0,0,0
2021-10-29,1000.0,1000.0,0,0
2021-11-01,1000.0,1000.0,0,0
2021-11-02,1000.0,1000.0,0,0
2021-11-03,1000.0,1000.0,0,0
2021-11-04,1000.0,1000.0,0,0
2021-11-05,1000.0,1000.0,0,0
2021-11-08,1000.0,1000.0,0,0
2021-11-09,1000.0,1000.0,0,0
2021-11-10,1000.0,1000.0,0,0
2021-11-11,1000.0,1000.0,0,0
2021-11-12,1000.0,1000.0,0,0
2021-11-15,1000.0,1000.0,0,0
2021-11-16,996.46,800.0,1,0
2021-11-17,995.31,800.0,1,0
2021-11-18,996.4,800.0,1,0
2021-11-19,997.93,800.0,1,0
2021-11-22,995.39,800.0,1,0
2021-11-23,998.7,800.0,1,0
2021-11-24,1001.34,800.0,1,0
2021-11-26,999.36,800.0,1,0
2021-11-29,1002.45,800.0,1,0
2021-11-30,999.07,800.0,1,0
2021-12-01,998.9,600.72,2,0
2021-12-02,1006.92,399.5,3,0
2021-12-03,988.69,399.5,3,0
2021-12-06,989.61,576.47,2,0
2021-12-07,996.2,576.47,2,0
2021-12-08,997.2,576.47,2,0
2021-12-09,990.66,377.8,3,0
2021-12-10,989.79,247.47,4,0
2021-12-13,1006.81,247.47,4,0
2021-12-14,1002.71,247.47,4,3
2021-12-15,1011.17,252.68,5,4
2021-12-16,1020.44,252.68,5,8
2021-12-17,1005.74,252.68,5,13
2021-12-20,1000.43,370.16,4,42
2021-12-21,998.42,370.16,4,38
