symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,win
HOOD,mean_reversion,oversold,2,2021-12-01,2021-12-02,23.983959,2021-12-06,21.31866,stop_loss,8.34823299,8.34823299,False,,0.0,0.0,0.0,176.973142,2.0,1.0,201.223678,176.973142,4,22.307,26.382355,0.0349600205,28.87,3.311,False,-24.250536,-12.051532,0
NVO,momentum_breakout,breakout,2,2021-12-09,2021-12-10,50.631933,2021-12-20,46.383718,stop_loss,2.55437489,2.55437489,False,,0.0,0.0,0.0,117.481404,2.0,1.0,130.332938,117.481404,10,49.411291,59.745681,0.0120540675,65.22,1.593,False,-12.851534,-9.860542,0
AMT,mean_reversion,oversold,2,2021-11-15,2021-11-16,225.477038,2022-01-12,224.203113,trailing_stop,0.88257324,0.44128662,True,2021-12-29,247.427496,0.44128662,108.186443,97.937834,3.0,1.0,200.0,206.124277,57,219.320243,248.024742,0.0136528216,28.44,2.387,False,6.124277,3.062139,1
BMY,mean_reversion,oversold,2,2021-11-30,2021-12-01,44.353678,2022-01-12,53.69284,mean_reversion_complete,4.47038227,2.23519114,True,2021-12-15,48.926275,2.23519114,108.359577,119.013761,3.0,1.0,199.277897,227.373338,42,43.39076,48.789046,0.0108549986,29.27,1.958,False,28.09544,14.098623,1
ABT,momentum_breakout,breakout,2,2021-12-14,2021-12-15,121.754581,2022-01-14,119.154884,stop_loss,0.83894896,0.83894896,False,,0.0,0.0,0.0,98.964866,2.0,1.0,103.145879,98.964866,30,118.744921,143.670406,0.0123595334,65.98,1.587,False,-4.181013,-4.053495,0
WM,momentum_breakout,breakout,2,2022-01-03,2022-01-04,151.328447,2022-01-14,144.262359,stop_loss,1.3230033,1.3230033,False,,0.0,0.0,0.0,189.859576,2.0,1.0,201.208034,189.859576,10,147.757572,178.567567,0.0117984237,54.78,1.618,False,-11.348458,-5.640161,0
ETN,momentum_breakout,breakout,2,2022-01-14,2022-01-18,156.773241,2022-01-20,152.263206,stop_loss,0.90215662,0.90215662,False,,0.0,0.0,0.0,136.36526,2.0,1.0,142.434018,136.36526,2,152.785859,184.992424,0.0127170369,53.47,1.807,False,-6.068758,-4.26075,0
FCX,momentum_breakout,breakout,2,2022-01-12,2022-01-13,41.800179,2022-01-24,37.113776,stop_loss,4.71415756,4.71415756,False,,0.0,0.0,0.0,173.960187,2.0,1.0,198.052631,173.960187,11,39.913568,49.324212,0.022567029,69.06,1.809,False,-24.092444,-12.164667,0
CAT,momentum_breakout,breakout,2,2022-01-13,2022-01-14,207.548078,2022-01-24,195.579031,stop_loss,0.94262409,0.94262409,False,,0.0,0.0,0.0,183.357506,2.0,1.0,196.639819,183.357506,10,200.201241,244.906733,0.0176991223,69.07,1.593,False,-13.282313,-6.75464,0
LMT,momentum_breakout,breakout,2,2022-01-19,2022-01-20,332.871521,2022-01-24,325.63289,stop_loss,0.42218748,0.42218748,False,,0.0,0.0,0.0,136.47813,2.0,1.0,141.53419,136.47813,4,327.435667,392.788395,0.0081650942,75.32,2.194,False,-5.05606,-3.572324,0
DUK,momentum_breakout,breakout,2,2021-12-08,2021-12-09,84.232314,2022-02-25,82.38354,stop_loss,2.34671283,2.34671283,False,,0.0,0.0,0.0,192.33051,2.0,1.0,198.669052,192.33051,78,82.118159,99.394131,0.0125495477,53.58,1.637,False,-6.338542,-3.190503,0
RTX,momentum_breakout,breakout,2,2022-03-01,2022-03-02,92.938491,2022-03-08,88.950102,stop_loss,1.81452962,1.81452962,False,,0.0,0.0,0.0,160.402596,2.0,1.0,169.639645,160.402596,6,89.843788,109.667419,0.0166491959,77.46,1.694,False,-9.237049,-5.4451,0
XOM,momentum_breakout,breakout,2,2022-01-21,2022-01-24,60.344125,2022-03-16,66.844583,trailing_stop,3.08199326,1.54099663,True,2022-03-07,72.952588,1.54099663,111.419692,102.007277,3.0,1.0,186.980186,213.426969,51,58.338392,71.206067,0.0166191195,72.07,1.519,False,26.446784,14.144164,1
UNP,momentum_breakout,breakout,2,2022-03-08,2022-03-09,232.382842,2022-04-07,219.536309,trailing_stop,0.89668127,0.89668127,False,,0.0,0.0,0.0,195.854096,2.0,1.0,209.373342,195.854096,29,223.124412,274.211754,0.0199206397,59.61,1.654,False,-13.519246,-6.457004,0
NVO,momentum_breakout,breakout,2,2022-04-07,2022-04-08,54.073912,2022-04-20,51.798251,stop_loss,3.8597086,3.8597086,False,,0.0,0.0,0.0,198.926156,2.0,1.0,209.709544,198.926156,12,52.091549,63.807216,0.018330126,72.39,2.015,False,-10.783389,-5.142059,0
NEM,momentum_breakout,breakout,2,2022-02-24,2022-02-25,58.104003,2022-04-25,62.908524,trailing_stop,3.18604085,1.59302042,True,2022-03-24,70.381424,1.59302042,111.119045,99.214563,3.0,1.0,186.121726,210.333608,59,55.221973,68.562723,0.0248006128,66.97,1.748,False,24.211882,13.008628,1
MAR,momentum_breakout,breakout,2,2022-04-20,2022-04-21,185.731701,2022-04-25,171.31057,stop_loss,1.09754252,1.09754252,False,,0.0,0.0,0.0,187.020635,2.0,1.0,204.848439,187.020635,4,176.360705,219.163407,0.0252272391,67.0,1.58,False,-17.827804,-8.702924,0
CVX,momentum_breakout,breakout,2,2022-01-24,2022-01-25,105.337457,2022-04-28,131.576681,trailing_stop,1.78250561,0.8912528,True,2022-03-02,125.518052,0.8912528,110.868316,116.268086,3.0,1.0,188.764607,227.136402,93,103.163492,124.298199,0.0103190508,62.76,1.663,False,38.371794,20.327854,1
NEE,mean_reversion,oversold,2,2022-04-25,2022-04-26,65.451317,2022-05-02,62.718313,stop_loss,3.01924247,3.01924247,False,,0.0,0.0,0.0,188.361794,2.0,1.0,198.613396,188.361794,6,63.189586,71.996449,0.0172779644,29.77,1.79,False,-10.251603,-5.161587,0
KO,momentum_breakout,breakout,2,2022-04-25,2022-04-26,57.533323,2022-05-03,55.840938,stop_loss,3.3169215,3.3169215,False,,0.0,0.0,0.0,184.220009,2.0,1.0,191.833517,184.220009,7,56.665305,67.889321,0.0075436118,71.12,1.7,False,-7.613508,-3.96881,0
XOM,momentum_breakout,breakout,2,2022-05-04,2022-05-05,79.227505,2022-05-10,73.571166,stop_loss,1.30459992,1.30459992,False,,0.0,0.0,0.0,94.980937,2.0,1.0,104.360197,94.980937,5,75.870265,93.488456,0.0211873412,63.03,1.647,False,-9.37926,-8.987392,0
LLY,momentum_breakout,breakout,2,2022-05-16,2022-05-17,290.082604,2022-05-20,280.557387,stop_loss,0.33361995,0.33361995,False,,0.0,0.0,0.0,92.599541,2.0,1.0,97.777344,92.599541,3,278.635256,342.297473,0.0197311864,59.54,1.718,False,-5.177803,-5.295503,0
HON,momentum_breakout,breakout,2,2022-05-03,2022-05-04,178.058308,2022-05-23,173.567469,stop_loss,1.09461171,1.09461171,False,,0.0,0.0,0.0,188.988985,2.0,1.0,195.90471,188.988985,19,172.779876,210.108804,0.0148222016,54.68,1.586,False,-6.915725,-3.530147,0
SHW,momentum_breakout,breakout,2,2022-05-02,2022-05-03,257.858903,2022-06-13,231.962236,trailing_stop,0.74628665,0.74628665,False,,0.0,0.0,0.0,172.11032,2.0,1.0,193.436657,172.11032,41,243.718706,304.273505,0.0274184767,55.71,1.504,False,-21.326337,-11.024972,0
LLY,momentum_breakout,breakout,2,2022-05-31,2022-06-01,303.078252,2022-06-13,280.267842,stop_loss,0.31691983,0.31691983,False,,0.0,0.0,0.0,87.822436,2.0,1.0,97.051507,87.822436,12,290.319838,357.632337,0.0210480518,64.63,1.996,False,-9.229071,-9.509457,0
CVX,momentum_breakout,breakout,2,2022-05-31,2022-06-01,149.201574,2022-06-14,142.702254,stop_loss,1.25912336,1.25912336,False,,0.0,0.0,0.0,178.679741,2.0,1.0,188.863187,178.679741,13,142.385594,176.057858,0.0228415154,63.01,1.839,False,-10.183446,-5.39197,0
LMT,momentum_breakout,breakout,2,2022-01-24,2022-01-25,333.613124,2022-06-15,372.787317,trailing_stop,0.35969216,0.17984608,True,2022-03-02,395.144458,0.17984608,70.065182,66.044338,3.0,1.0,120.998026,136.10952,141,327.624857,393.663486,0.0089748666,66.07,1.798,False,15.111495,12.489042,1
IBM,momentum_breakout,breakout,2,2022-06-24,2022-06-27,122.073629,2022-07-06,118.181489,stop_loss,1.22615037,1.22615037,False,,0.0,0.0,0.0,143.908276,2.0,1.0,150.680624,143.908276,9,118.97285,144.046882,0.0127004443,59.01,2.183,False,-6.772348,-4.494505,0
FDX,momentum_breakout,breakout,2,2022-06-17,2022-06-21,172.014367,2022-07-14,156.07852,trailing_stop,1.03805633,1.03805633,False,,0.0,0.0,0.0,161.018296,2.0,1.0,179.560602,161.018296,23,158.431924,202.976953,0.0394805476,56.64,1.862,False,-18.542307,-10.326489,0
MRK,momentum_breakout,breakout,2,2022-06-24,2022-06-27,82.2081,2022-07-21,78.478642,stop_loss,2.20333385,2.20333385,False,,0.0,0.0,0.0,171.914648,2.0,1.0,182.131889,171.914648,24,79.588465,97.005558,0.0159329458,64.24,1.886,False,-10.21724,-5.609803,0
JNJ,momentum_breakout,breakout,2,2022-03-18,2022-03-21,154.028082,2022-08-12,148.401481,stop_loss,1.02655125,1.02655125,False,,0.0,0.0,0.0,151.341726,2.0,1.0,159.117721,151.341726,144,148.844343,181.753137,0.0168272538,64.78,1.582,False,-7.775995,-4.886945,0
RBLX,momentum_breakout,breakout,2,2022-07-08,2022-07-11,39.989951,2022-08-19,44.515441,trailing_stop,3.71665787,1.85832894,True,2022-08-05,46.93302,1.85832894,86.216988,81.724333,3.0,1.0,149.628965,167.941321,39,33.815751,47.188142,0.0771968858,62.39,1.865,False,18.312356,12.23851,1
NFLX,momentum_breakout,breakout,2,2022-07-21,2022-07-22,22.260239,2022-08-29,22.170808,trailing_stop,7.66630092,7.66630092,False,,0.0,0.0,0.0,168.968084,2.0,1.0,171.65369,168.968084,38,20.623579,26.267082,0.0367619524,61.22,1.842,False,-2.685606,-1.564549,0
DHR,momentum_breakout,breakout,2,2022-07-21,2022-07-22,241.043468,2022-09-01,234.310241,trailing_stop,0.69951213,0.69951213,False,,0.0,0.0,0.0,162.902856,2.0,1.0,169.612831,162.902856,41,227.082466,284.431292,0.0289595122,61.89,1.894,False,-6.709974,-3.956054,0
CRWD,momentum_breakout,breakout,2,2022-08-04,2022-08-05,46.5465,2022-09-01,44.567887,trailing_stop,1.60691371,1.60691371,False,,0.0,0.0,0.0,70.616748,2.0,1.0,75.796209,70.616748,27,43.591443,54.92487,0.0317430641,56.02,1.708,False,-5.179461,-6.833403,0
SCHW,momentum_breakout,breakout,2,2022-08-12,2022-08-15,70.190197,2022-09-06,67.075319,stop_loss,2.05296297,2.05296297,False,,0.0,0.0,0.0,136.703147,2.0,1.0,145.097876,136.703147,22,66.554365,82.824433,0.02589986,68.03,1.832,False,-8.394729,-5.785563,0
FSLR,momentum_breakout,breakout,2,2022-09-08,2022-09-09,138.228086,2022-09-16,130.679188,stop_loss,0.22623821,0.22623821,False,,0.0,0.0,0.0,28.564626,2.0,1.0,32.272475,28.564626,7,132.707111,163.109142,0.0199705268,78.76,1.792,False,-3.707849,-11.4892,0
DE,momentum_breakout,breakout,2,2022-08-19,2022-08-22,344.762304,2022-09-22,333.808497,stop_loss,0.26837992,0.26837992,False,,0.0,0.0,0.0,88.587497,2.0,1.0,93.527279,88.587497,31,333.90639,406.819518,0.0157440561,63.75,2.869,False,-4.939782,-5.281648,0
SNOW,momentum_breakout,breakout,2,2022-08-29,2022-08-30,189.018832,2022-09-23,169.83,trailing_stop,0.90079942,0.90079942,False,,0.0,0.0,0.0,151.982766,2.0,1.0,171.268055,151.982766,24,164.824989,223.042222,0.0639984994,62.81,1.52,False,-19.285289,-11.260295,0
LULU,momentum_breakout,breakout,2,2022-09-07,2022-09-08,334.974655,2022-09-23,302.1975,trailing_stop,0.49980051,0.49980051,False,,0.0,0.0,0.0,150.038465,2.0,1.0,168.420503,150.038465,15,316.889548,395.270093,0.0269947386,58.66,1.525,False,-18.382039,-10.914371,0
TSLA,momentum_breakout,breakout,2,2022-09-16,2022-09-19,300.390086,2022-09-26,271.558157,stop_loss,0.10383967,0.10383967,False,,0.0,0.0,0.0,27.19851,2.0,1.0,32.192408,27.19851,7,286.669808,354.460302,0.0228374359,56.81,1.509,False,-4.993898,-15.512658,0
NFLX,momentum_breakout,breakout,2,2022-09-29,2022-09-30,23.723701,2022-10-12,21.40857,stop_loss,6.61468456,6.61468456,False,,0.0,0.0,0.0,140.61094,2.0,1.0,157.924797,140.61094,12,21.933651,27.993967,0.0377270269,56.8,1.711,False,-17.313858,-10.963356,0
UNP,mean_reversion,oversold,2,2022-09-27,2022-09-28,181.105556,2022-10-21,169.056959,stop_loss,0.87517435,0.87517435,False,,0.0,0.0,0.0,146.954315,2.0,1.0,159.498937,146.954315,23,174.993295,199.216111,0.0168748572,29.36,1.718,False,-12.544623,-7.86502,0
NFLX,momentum_breakout,breakout,2,2022-10-17,2022-10-18,25.00498,2022-11-07,26.079895,trailing_stop,5.58995434,2.79497717,True,2022-10-27,29.803167,2.79497717,82.299172,71.892711,3.0,1.0,140.776694,154.191883,20,23.007542,29.505876,0.0399407865,55.63,1.649,False,13.415189,9.52941,1
SLB,momentum_breakout,breakout,2,2022-10-21,2022-10-24,45.574603,2022-12-12,42.903934,trailing_stop,3.15678284,3.15678284,False,,0.0,0.0,0.0,134.438402,2.0,1.0,144.869126,134.438402,49,42.350853,53.778032,0.0353678391,74.28,2.331,False,-10.430725,-7.200102,0
MSFT,momentum_breakout,breakout,2,2022-12-13,2022-12-14,249.792283,2022-12-19,237.397129,stop_loss,0.54559084,0.54559084,False,,0.0,0.0,0.0,128.521698,2.0,1.0,137.28438,128.521698,5,240.508384,294.754894,0.0185832379,60.72,1.683,False,-8.762682,-6.382869,0
BIIB,momentum_breakout,breakout,2,2022-09-29,2022-09-30,265.77552,2022-12-28,275.364375,trailing_stop,0.42721223,0.42721223,False,,0.0,0.0,0.0,116.639028,2.0,1.0,114.542552,116.639028,89,216.82516,313.615113,0.0920896701,71.91,3.062,False,2.096476,1.830303,1
