date,equity,cash,positions,queue_size
2021-09-22,1000.0,1000.0,0,0
2021-09-23,1000.0,1000.0,0,0
2021-09-24,1000.0,1000.0,0,0
2021-09-27,1000.0,1000.0,0,0
2021-09-28,1000.0,1000.0,0,0
2021-09-29,1000.0,1000.0,0,0
2021-09-30,1000.0,1000.0,0,0
2021-10-01,1000.0,1000.0,0,0
2021-10-04,1000.0,1000.0,0,0
2021-10-05,1000.0,1000.0,0,0
2021-10-06,1000.0,1000.0,0,0
2021-10-07,1000.0,1000.0,0,0
2021-10-08,1000.0,1000.0,0,0
2021-10-11,1000.0,1000.0,0,0
2021-10-12,1000.0,1000.0,0,0
2021-10-13,1000.0,1000.0,0,0
2021-10-14,1000.0,1000.0,0,0
2021-10-15,1000.0,1000.0,0,0
2021-10-18,1000.0,1000.0,0,0
2021-10-19,1000.0,1000.0,0,0
2021-10-20,1000.0,1000.0,0,0
2021-10-21,1000.0,1000.0,0,0
2021-10-22,1000.0,1000.0,0,0
2021-10-25,1000.0,1000.0,0,0
2021-10-26,1000.0,1000.0,0,0
2021-10-27,1000.0,1000.0,0,0
2021-10-28,1000.0,1000.0,0,0
2021-10-29,1000.0,1000.0,0,0
2021-11-01,1000.0,1000.0,0,0
2021-11-02,1000.0,1000.0,0,0
2021-11-03,1000.0,1000.0,0,0
2021-11-04,1000.0,1000.0,0,0
2021-11-05,1000.0,1000.0,0,0
2021-11-08,1000.0,1000.0,0,0
2021-11-09,996.12,800.0,1,0
2021-11-10,1014.87,800.0,1,0
2021-11-11,1025.47,595.62,2,0
2021-11-12,1034.48,707.44,2,0
2021-11-15,1025.76,707.44,2,0
2021-11-16,1023.29,707.44,2,0
2021-11-17,1013.85,707.44,2,0
2021-11-18,1008.94,707.44,2,0
2021-11-19,1007.25,606.05,2,0
2021-11-22,1024.04,606.05,2,0
2021-11-23,1031.3,606.05,2,0
2021-11-24,1044.74,260.73,4,0
2021-11-26,1033.55,365.98,4,0
2021-11-29,1035.06,558.41,3,0
2021-11-30,1010.74,558.41,3,0
2021-12-01,961.12,363.04,4,0
2021-12-02,976.76,674.35,2,0
2021-12-03,940.79,236.1,5,0
2021-12-06,928.91,588.94,3,1
2021-12-07,925.31,394.39,4,1
2021-12-08,952.17,394.39,4,1
2021-12-09,938.62,394.39,4,1
2021-12-10,929.24,394.39,4,0
2021-12-13,926.01,394.39,4,0
2021-12-14,926.4,394.39,4,0
2021-12-15,934.8,443.21,3,0
2021-12-16,925.97,231.65,5,1
2021-12-17,932.63,406.0,4,2
2021-12-20,908.11,229.0,5,4
2021-12-21,930.33,229.0,5,4
