symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,win
FVRR,mean_reversion,oversold,2,2021-11-08,2021-11-09,163.363197,2021-11-19,166.653187,trailing_stop,1.21814462,0.60907231,True,2021-11-12,185.234578,0.60907231,111.821253,100.503842,3.0,1.0,200.0,212.325095,10,155.701564,179.699517,0.0234496916,29.85,1.662,False,12.325095,6.162547,1
PKX,mean_reversion,oversold,2,2021-11-10,2021-11-11,52.625615,2021-11-29,50.049335,stop_loss,3.86464738,3.86464738,False,,0.0,0.0,0.0,192.423033,2.0,1.0,204.379446,192.423033,18,50.813532,57.888177,0.0172167379,16.12,2.402,False,-11.956413,-5.850105,0
TOST,mean_reversion,oversold,2,2021-11-23,2021-11-24,40.740701,2021-12-02,35.973988,trailing_stop,5.03801371,5.03801371,False,,0.0,0.0,0.0,180.237446,2.0,1.0,206.252209,180.237446,8,35.660299,44.814771,0.0623504504,28.85,1.681,False,-26.014763,-12.613083,0
ZM,mean_reversion,oversold,2,2021-11-23,2021-11-24,204.1009,2021-12-02,195.244562,trailing_stop,0.67647379,0.67647379,False,,0.0,0.0,0.0,131.07783,2.0,1.0,139.06891,131.07783,8,188.177849,224.51099,0.0390077917,26.65,5.805,False,-7.99108,-5.74613,0
DKNG,mean_reversion,oversold,2,2021-12-02,2021-12-03,31.231201,2021-12-06,28.126846,stop_loss,6.20133545,6.20133545,False,,0.0,0.0,0.0,173.424005,2.0,1.0,194.675152,173.424005,3,29.426236,34.354321,0.028896824,15.73,1.544,False,-21.251147,-10.916209,0
VEEV,mean_reversion,oversold,2,2021-12-02,2021-12-03,262.221951,2021-12-06,249.090656,stop_loss,0.72429672,0.72429672,False,,0.0,0.0,0.0,179.415546,2.0,1.0,190.9265,179.415546,3,252.485273,288.444147,0.0185657204,22.1,4.139,False,-11.510954,-6.028998,0
DUOL,mean_reversion,oversold,2,2021-11-30,2021-12-01,112.732623,2021-12-07,105.46443,stop_loss,1.72416065,1.72416065,False,,0.0,0.0,0.0,180.83762,2.0,1.0,195.369153,180.83762,6,102.999529,124.005885,0.0431689295,27.31,1.723,False,-14.531532,-7.437987,0
ESTC,mean_reversion,oversold,2,2021-12-02,2021-12-03,118.68857,2021-12-15,114.475406,trailing_stop,0.43516355,0.43516355,False,,0.0,0.0,0.0,48.815524,2.0,1.0,52.648939,48.815524,12,106.224302,130.557427,0.0525082897,27.65,4.739,False,-3.833415,-7.281087,0
VEEV,mean_reversion,oversold,2,2021-12-06,2021-12-07,270.640365,2021-12-17,253.99575,stop_loss,0.69035913,0.69035913,False,,0.0,0.0,0.0,174.348286,2.0,1.0,187.839048,174.348286,10,257.268107,297.704402,0.0247048475,24.3,1.826,False,-13.490762,-7.182086,0
DOCU,mean_reversion,oversold,2,2021-12-06,2021-12-07,147.6475,2022-01-10,133.377491,trailing_stop,1.26346786,1.26346786,False,,0.0,0.0,0.0,167.518173,2.0,1.0,187.547871,167.518173,34,118.298454,162.41225,0.0993889012,19.38,3.345,False,-20.029698,-10.679779,0
FUN,momentum_breakout,breakout,2,2021-12-15,2021-12-16,46.34012,2022-01-13,44.359486,stop_loss,3.9995759,3.9995759,False,,0.0,0.0,0.0,176.419132,2.0,1.0,186.340827,176.419132,28,44.757504,54.681342,0.017076085,57.68,1.543,False,-9.921695,-5.324488,0
NUE,momentum_breakout,breakout,2,2021-12-17,2021-12-20,107.79507,2022-01-19,101.466298,trailing_stop,1.63268671,1.63268671,False,,0.0,0.0,0.0,164.662677,2.0,1.0,176.995578,164.662677,30,100.26419,127.198183,0.0349314693,56.33,1.853,False,-12.332902,-6.967915,0
VALE,mean_reversion,oversold,2,2021-11-18,2021-11-19,7.605623,2022-01-20,10.795419,mean_reversion_complete,26.41451057,13.20725529,True,2021-11-26,8.045457,13.20725529,105.258402,141.577861,3.0,1.0,201.898798,246.836263,62,7.181386,8.366185,0.0278896762,26.69,1.527,False,44.937465,22.257421,1
DAL,momentum_breakout,breakout,2,2022-01-13,2022-01-14,39.412041,2022-01-20,37.655423,stop_loss,4.43691811,4.43691811,False,,0.0,0.0,0.0,166.074027,2.0,1.0,175.867999,166.074027,6,37.792534,46.506209,0.0205458449,60.72,1.819,False,-9.793972,-5.568934,0
RIO,momentum_breakout,breakout,2,2022-01-19,2022-01-20,55.439603,2022-01-21,52.770847,stop_loss,3.20431025,3.20431025,False,,0.0,0.0,0.0,168.094166,2.0,1.0,178.645688,168.094166,1,54.09095,65.418731,0.0121632671,76.89,1.53,False,-10.551521,-5.906396,0
CMC,momentum_breakout,breakout,2,2021-12-15,2021-12-16,31.580701,2022-01-24,31.046041,trailing_stop,0.76694195,0.76694195,False,,0.0,0.0,0.0,22.810512,2.0,1.0,25.220564,22.810512,39,30.231702,37.265227,0.0213579566,51.17,1.594,False,-2.410053,-9.555903,0
RS,momentum_breakout,breakout,2,2022-01-10,2022-01-11,149.813604,2022-01-24,137.182191,stop_loss,1.12900275,1.12900275,False,,0.0,0.0,0.0,153.879072,2.0,1.0,170.139972,153.879072,13,145.485943,176.780053,0.0144434849,60.44,1.522,False,-16.2609,-9.557366,0
ATI,momentum_breakout,breakout,2,2022-01-20,2022-01-21,20.09007,2022-01-26,19.370609,stop_loss,8.62087687,8.62087687,False,,0.0,0.0,0.0,165.991638,2.0,1.0,174.194017,165.991638,5,19.354705,23.706282,0.0183016945,81.28,2.049,False,-8.202379,-4.70876,0
