date,equity,cash,positions,queue_size,pending
2021-09-22,1000.0,1000.0,0,0,0
2021-09-23,1000.0,1000.0,0,0,0
2021-09-24,1000.0,1000.0,0,0,0
2021-09-27,1000.0,1000.0,0,0,0
2021-09-28,1000.0,1000.0,0,0,0
2021-09-29,1000.0,1000.0,0,0,0
2021-09-30,1000.0,1000.0,0,0,0
2021-10-01,1000.0,1000.0,0,0,0
2021-10-04,1000.0,1000.0,0,0,0
2021-10-05,1000.0,1000.0,0,0,0
2021-10-06,1000.0,1000.0,0,0,0
2021-10-07,1000.0,1000.0,0,0,0
2021-10-08,1000.0,1000.0,0,0,0
2021-10-11,1000.0,1000.0,0,0,0
2021-10-12,1000.0,1000.0,0,0,0
2021-10-13,1000.0,1000.0,0,0,0
2021-10-14,1000.0,1000.0,0,0,0
2021-10-15,1000.0,1000.0,0,0,0
2021-10-18,1000.0,1000.0,0,0,0
2021-10-19,1000.0,1000.0,0,0,0
2021-10-20,1000.0,1000.0,0,0,0
2021-10-21,1000.0,1000.0,0,0,0
2021-10-22,1000.41,850.0,1,0,0
2021-10-25,1004.64,850.0,1,0,0
2021-10-26,1003.41,850.0,1,0,0
2021-10-27,999.85,850.0,1,0,0
2021-10-28,994.25,700.0,2,0,0
2021-10-29,988.12,700.0,2,0,0
2021-11-01,989.34,840.48,1,0,0
2021-11-02,990.28,840.48,1,0,0
2021-11-03,991.12,690.48,2,0,0
2021-11-04,989.04,690.48,2,0,0
2021-11-05,980.28,690.48,2,0,0
2021-11-08,976.43,831.17,1,0,0
2021-11-09,972.42,681.17,2,0,0
2021-11-10,1003.17,681.17,2,0,0
2021-11-11,1020.7,531.17,3,0,0
2021-11-12,1033.22,699.25,3,0,0
2021-11-15,1025.53,699.25,3,0,0
2021-11-16,1020.66,699.25,3,0,0
2021-11-17,1011.72,699.25,3,0,0
2021-11-18,1007.8,699.25,3,0,0
2021-11-19,1000.92,624.25,3,0,0
2021-11-22,1013.28,705.12,2,0,0
2021-11-23,1018.64,705.12,2,0,0
2021-11-24,1028.89,405.12,4,0,0
2021-11-26,1023.15,482.93,4,0,0
2021-11-29,1023.68,623.63,3,0,0
2021-11-30,1004.21,623.63,3,0,0
2021-12-01,964.03,473.63,4,0,0
2021-12-02,974.78,595.73,3,0,0
2021-12-03,941.61,295.73,5,3,0
2021-12-06,950.59,429.57,4,6,0
2021-12-07,978.38,417.96,4,6,0
2021-12-08,997.58,267.96,5,6,0
2021-12-09,969.82,349.39,5,3,0
2021-12-10,964.63,349.39,5,1,0
2021-12-13,951.11,349.39,5,1,0
2021-12-14,933.43,548.7,3,0,0
2021-12-15,939.28,548.7,3,0,0
2021-12-16,924.33,248.7,5,1,0
2021-12-17,925.12,387.46,4,2,0
2021-12-20,903.18,237.46,5,3,0
2021-12-21,918.05,380.49,4,3,0
2021-12-22,926.86,230.49,5,1,0
2021-12-23,926.43,230.49,5,0,0
2021-12-27,936.17,230.49,5,0,0
2021-12-28,931.5,230.49,5,1,0
2021-12-29,935.17,230.49,5,1,0
2021-12-30,934.48,230.49,5,1,0
2021-12-31,936.61,230.49,5,1,0
2022-01-03,930.99,380.44,4,1,0
2022-01-04,948.46,230.44,5,0,0
2022-01-05,956.66,230.44,5,3,0
2022-01-06,944.84,230.44,5,6,0
2022-01-07,948.59,230.44,5,7,0
2022-01-10,940.63,230.44,5,8,0
2022-01-11,947.8,230.44,5,5,0
2022-01-12,971.07,230.44,5,3,0
2022-01-13,961.93,394.2,4,7,0
2022-01-14,960.77,244.2,5,8,0
2022-01-18,950.12,244.2,5,9,0
2022-01-19,952.36,383.45,4,7,0
2022-01-20,946.19,479.56,3,6,0
2022-01-21,913.85,179.56,5,6,0
2022-01-24,895.46,319.87,4,7,0
2022-01-25,891.37,294.29,4,2,0
2022-01-26,895.9,436.95,3,1,0
2022-01-27,895.19,436.95,3,0,0
2022-01-28,893.29,436.95,3,0,0
2022-01-31,883.56,423.49,3,0,0
2022-02-01,920.2,273.49,4,0,0
2022-02-02,920.6,273.49,4,0,0
2022-02-03,911.36,123.49,5,0,0
2022-02-04,919.93,123.49,5,1,0
2022-02-07,929.44,123.49,5,1,0
2022-02-08,930.51,211.34,5,2,0
2022-02-09,926.39,293.53,5,5,0
2022-02-10,933.35,293.53,5,4,0
2022-02-11,938.78,293.53,5,7,0
2022-02-14,936.72,293.53,5,8,0
2022-02-15,938.14,293.53,5,5,0
2022-02-16,930.21,293.53,5,6,0
2022-02-17,920.25,293.53,5,3,0
2022-02-18,923.23,293.53,5,4,0
2022-02-22,917.16,443.21,4,4,0
2022-02-23,923.42,293.21,5,2,0
2022-02-24,927.6,293.21,5,1,0
2022-02-25,944.07,293.21,5,2,0
2022-02-28,949.12,293.21,5,3,0
2022-03-01,944.02,381.59,5,8,0
2022-03-02,938.92,586.1,3,10,0
2022-03-03,922.97,286.1,5,10,0
2022-03-04,920.88,286.1,5,10,0
2022-03-07,913.26,586.51,3,10,0
2022-03-08,893.45,416.81,4,6,0
2022-03-09,901.95,266.81,5,5,0
2022-03-10,925.15,266.81,5,5,0
2022-03-11,917.58,417.01,4,6,0
2022-03-14,883.55,267.01,5,5,0
2022-03-15,891.98,352.38,4,2,0
