symbol,strategy,trigger,confluence,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,original_shares,remaining_shares,scaled_out,scale_out_date,scale_out_price,scale_out_shares,scale_out_proceeds,exit_proceeds,commission_paid,entry_commission,total_invested,total_returned,holding_days,stop_loss,take_profit,stdev_20,stdev_fallback,rsi_at_entry,vol_at_entry,from_queue,pnl,pnl_pct,pnl_before_commission,win,win_before_commission
VALE,mean_reversion,oversold+volume,2,2021-10-21,2021-10-22,8.841288,2021-11-01,8.394972,stop_loss,16.85274766,16.85274766,False,,0.0,0.0,0.0,140.478351,2.0,1.0,150.0,140.478351,10,8.457576,9.725417,0.0217,False,21.1,2.1,False,-9.521649,-6.347766,-7.521649,0,0
VALE,mean_reversion,oversold+volume,2,2021-11-02,2021-11-03,8.134249,2021-11-08,7.735509,stop_loss,18.31760968,18.31760968,False,,0.0,0.0,0.0,140.696027,2.0,1.0,150.0,140.696027,5,7.760074,8.947674,0.023,False,22.7,1.7,False,-9.303973,-6.202649,-7.303973,0,0
FVRR,mean_reversion,oversold+volume,2,2021-11-08,2021-11-09,163.363197,2021-11-19,166.653187,trailing_stop,0.91207814,0.45603907,True,2021-11-12,185.234578,0.45603907,83.474204,75.000364,3.0,1.0,150.0,158.474568,10,155.717799,179.699517,0.0234,False,29.8,1.66,False,8.474568,5.649712,11.474568,1,1
DASH,mean_reversion,oversold+volume,2,2021-10-27,2021-10-28,198.127923,2021-11-22,217.732047,trailing_stop,0.75203938,0.37601969,True,2021-11-12,227.642125,0.37601969,84.597921,80.871537,3.0,1.0,150.0,165.469458,25,188.063024,217.940715,0.0254,False,27.4,3.48,False,15.469458,10.312972,18.469458,1,1
PKX,mean_reversion,oversold+volume,2,2021-11-10,2021-11-11,52.625615,2021-11-29,50.049335,stop_loss,2.83132082,2.83132082,False,,0.0,0.0,0.0,140.705726,2.0,1.0,150.0,140.705726,18,50.815294,57.888177,0.0172,False,16.1,2.4,False,-9.294274,-6.196183,-7.294274,0,0
TOST,mean_reversion,oversold+volume,2,2021-11-23,2021-11-24,40.740701,2021-12-02,35.973988,trailing_stop,3.65727632,3.65727632,False,,0.0,0.0,0.0,130.566815,2.0,1.0,150.0,130.566815,8,35.656261,44.814771,0.0624,False,28.8,1.68,False,-19.433185,-12.955456,-17.433185,0,0
ZM,mean_reversion,oversold+volume,2,2021-11-23,2021-11-24,204.1009,2021-12-02,195.244562,trailing_stop,0.73003108,0.73003108,False,,0.0,0.0,0.0,141.534598,2.0,1.0,150.0,141.534598,8,188.18103,224.51099,0.039,False,26.7,5.8,False,-8.465402,-5.643601,-6.465402,0,0
DKNG,mean_reversion,oversold+sma_support,2,2021-12-01,2021-12-02,31.082052,2021-12-06,28.126846,stop_loss,4.79376336,4.79376336,False,,0.0,0.0,0.0,133.833442,2.0,1.0,150.0,133.833442,4,29.310375,34.190257,0.0285,False,17.6,1.25,False,-16.166558,-10.777705,-14.166558,0,0
DUOL,mean_reversion,oversold+volume,2,2021-11-30,2021-12-01,112.732623,2021-12-07,105.46443,stop_loss,1.32171147,1.32171147,False,,0.0,0.0,0.0,138.393546,2.0,1.0,150.0,138.393546,6,102.992524,124.005885,0.0432,False,27.3,1.72,False,-11.606454,-7.737636,-9.606454,0,0
TOST,mean_reversion,oversold+sma_support,2,2021-12-02,2021-12-03,36.226189,2021-12-14,33.14682,trailing_stop,4.11304655,2.05652327,True,2021-12-09,40.079879,2.05652327,81.425204,67.167207,3.0,1.0,150.0,148.592411,11,32.212327,39.848807,0.0554,False,24.8,1.41,False,-1.407589,-0.938393,1.592411,0,1
DKNG,mean_reversion,oversold+sma_support,2,2021-12-07,2021-12-08,31.44141,2021-12-14,28.096875,stop_loss,4.73897324,4.73897324,False,,0.0,0.0,0.0,132.150339,2.0,1.0,150.0,132.150339,6,28.938674,34.585551,0.0398,False,25.2,1.19,False,-17.849661,-11.899774,-15.849661,0,0
BILL,mean_reversion,oversold+sma_support,2,2021-12-06,2021-12-07,243.543303,2021-12-17,228.431344,trailing_stop,0.61180085,0.61180085,False,,0.0,0.0,0.0,138.75449,2.0,1.0,150.0,138.75449,10,226.397855,267.897633,0.0352,False,27.2,1.32,False,-11.24551,-7.497006,-9.24551,0,0
VEEV,mean_reversion,oversold+volume+sma_support,3,2021-12-02,2021-12-03,262.221951,2021-12-21,253.486265,stop_loss,0.56822093,0.56822093,False,,0.0,0.0,0.0,143.0362,2.0,1.0,150.0,143.0362,18,252.467295,288.444147,0.0186,False,22.1,4.14,False,-6.9638,-4.642533,-4.9638,0,0
FUN,momentum_breakout,breakout,3,2021-12-15,2021-12-16,46.34012,2022-01-03,46.946103,bearish_divergence,3.21535637,3.21535637,False,,0.0,0.0,0.0,149.948453,2.0,1.0,150.0,149.948453,18,44.755288,54.681342,0.0171,False,57.7,1.54,False,-0.051547,-0.034365,1.948453,0,1
CMC,momentum_breakout,breakout,3,2021-12-15,2021-12-16,31.580701,2022-01-13,34.920596,bearish_divergence,4.71807139,4.71807139,False,,0.0,0.0,0.0,163.757866,2.0,1.0,150.0,163.757866,28,30.229047,37.265227,0.0214,False,51.2,1.59,False,13.757866,9.171911,15.757866,1,1
NUE,momentum_breakout,breakout,3,2021-12-17,2021-12-20,107.79507,2022-01-19,101.466298,trailing_stop,1.38225245,1.38225245,False,,0.0,0.0,0.0,139.25204,2.0,1.0,150.0,139.25204,30,100.270974,127.198183,0.0349,False,56.3,1.85,False,-10.74796,-7.165307,-8.74796,0,0
VALE,mean_reversion,oversold+volume,2,2021-11-18,2021-11-19,7.605623,2022-01-20,10.795419,mean_reversion_complete,19.59076967,9.79538484,True,2021-11-26,8.045457,9.79538484,77.808346,104.745288,3.0,1.0,150.0,182.553634,62,7.181229,8.366185,0.0279,False,26.7,1.53,False,32.553634,21.702422,35.553634,1,1
DAL,momentum_breakout,breakout,3,2022-01-13,2022-01-14,39.412041,2022-01-20,37.655423,stop_loss,3.78057049,3.78057049,False,,0.0,0.0,0.0,141.35898,2.0,1.0,150.0,141.35898,6,37.796147,46.506209,0.0205,False,60.7,1.82,False,-8.64102,-5.76068,-6.64102,0,0
RS,momentum_breakout,breakout,3,2021-12-21,2021-12-22,144.642521,2022-01-24,137.182191,trailing_stop,1.03012585,1.03012585,False,,0.0,0.0,0.0,140.314921,2.0,1.0,150.0,140.314921,33,139.05932,170.678175,0.0193,False,55.4,2.13,True,-9.685079,-6.456719,-7.685079,0,0
IOT,mean_reversion,oversold+volume,2,2022-01-19,2022-01-20,20.580559,2022-01-25,17.32266,stop_loss,7.23984206,7.23984206,False,,0.0,0.0,0.0,124.413324,2.0,1.0,150.0,124.413324,5,18.522504,22.638615,0.05,False,29.1,2.19,False,-25.586676,-17.057784,-23.586676,0,0
ATI,momentum_breakout,breakout,3,2022-01-20,2022-01-21,20.09007,2022-01-26,19.370609,stop_loss,7.41659946,7.41659946,False,,0.0,0.0,0.0,142.664051,2.0,1.0,150.0,142.664051,5,19.354773,23.706282,0.0183,False,81.3,2.05,False,-7.335949,-4.890633,-5.335949,0,0
